ID	tat_toxic	tat_detox1
14	уф бля.сектегез уже.шундый кутак баш чтоли ты?сама решай!	Уф, җитте инде. Шундый мәгънәсез сөйләшүләр туктамый. Сама решай!
15	Егетен булгач с ночевкой бармаска иде! Или калмаска иде! Уз кутенэ приключение эзлэгэнсен инде булдыргансын!!	Егетең булгач, с ночевкой бармаска иде! Яки калмаска иде! Үзеңә маҗаралар эзләгәнсең инде, булдыргансың!
16	Патриотизм? Хэх, мин татар, бэлки син урыстыр, урыс очен кут жыртып, патриот булып яши алмыйм, гафу...	Патриотизм? Хэх, мин татар, бәлки син урыстыр, урыс өчен артык тырышып, патриот булып яши алмыйм, гафу...
17	Заипали блин, нэрсэ булэк итим, нишлим диеп!	Заебали инде, нәрсә бүләк итим, нишлим диеп!
18	Кит инде,яраткан хэр-бер эйбер очен кут жырта башласан,нинди дупло иметь итэргэ кирэк?!	Кит инде, яраткан һәрбер әйбер өчен артык тырышып башласаң, нинди күп кеше сабырлык күрсәтер икән?!
19	бляяя, егетлэр алай булмый инде...жалко...булмады инде алманияга барып!!	Егетләр, алай эшләмәгез инде... кызганыч инде... Германиягә барып булмады!
20	Кошмар. Батюшкалар белэн за компанию чукынып та алыгыз инде, мулла абзыйлар!	Бу инде... күмәк гамәлләр мәҗлесе үткәргәндәй, чукынып алыгыз инде, мулла абзыйлар!
21	яшерен батырын тугел, безнеке сволочь иде!!!)))	Яшерен-батырын түгел, безнеке бик үк әйбәт кеше түгел иде!
22	эгэр миндэ сезнен бу группагызны бесполезная или хуйня группа дип утырсам ботен кешегэ ошар идеме сон?	Әгәр мин сезнең бу группагызны файдасыз яки үземә кызыксыз дип әйтсәм, бөтен кешегә ошар идеме соң?
23	бу \"чучканы\" суеп сатсан акчасына батасын! :-)	Бу кешене сатып алсаң, акчасына күмеләсең инде! :-)
24	шуна жылап утырмыйлар инде....эйдэгез хором ыржаябыз)))	Шуна елыйсы түгел инде...әйдәгез бергәләп елмаеп карыйк!
25	Эй, хули комментны удалил? немес блят! Атып утермэкче идем инде сине	Әй, комментарийны ник бетердең? Немец, мин инде сине бөтенләй күрмәмгә теләр идем!
26	Кызлар! Жыен маржага ойлэнеп бетэсез бит, чын доресе бу! Аннары каян эзлэрбез саф чиста татар кызларын!....	Кызлар! Җыена-җыена чит кызларга өйләнеп бетәсез, дөрес түгел бу! Аннары саф татар кызларын кайдан табарбыз?
27	узеннен матур фотанны куй,э бу тилелекне алып куй!)	Үзеңнең матур фотоңны куясың да, бу аңлашылмаучанлыкны алып ташлыйсың!
28	А синен кутен авыр!	Ә синең эшләр әйбәт түгел, ахры!
29	Сойлэшу блэт кешедэ! Тьфуу!	Сойлэшу җиткереп кешедэ! Тьфуу!
30	ну вот ничего себе,ну иди-ка ты в жопу кызый,бер тишеген сасыганын котеп йорисен ахрысы,кит уйнап йормэ,ике малайны башка баш бастырмыйча гына!жунсез...тьфу кит сузем юк!	Ну ничего себе, ну син кызый, бер нәрсә көтәсен ахрысы, кит уйнап йөрмә, ике малайны башка бергә җыймыйча гына! Җүнсез... тьфу кит, сүзем юк!
31	Бу Актанышта, бер нормальный кыз калмады! Дустым эйтмешли: -ботенесе биюче хэм блэт!	Бу Актанышта, бер нормальный кыз калмады! Дустым әйтмешли: - бөтенесе биюче һәм тегенди-шундый!
32	Уз баласын ташлап калдырган анадан да, уз ата-анасын картлар йортына тапшырган баладан да шакшы кеше юктыр!	Үз баласын ташлап калдырган анадан да, ата-анасын картлар йортына тапшырган баладан да начар кеше юктыр!
33	башны сэкмәй генә яшәгез, дуслар!!!! кутакны сузып колакка тыксаң да, син икенче кешегә әйлә алмайсың!!!	Башны күтәрмичә генә яшәгез, дуслар!!!! Ничек кенә тырышсаң да, син икенче кешегә әйләнә алмайсың!!!
34	шул кызларнын кыланып русчалы татарчалы язуы!нахуй8o|	Шул кызларның кыланып русчалы-татарчалы язуы! Ни әйтәсең инде...
35	Ул автоВАЗнын заводында эшлэгэн, машина жыючыларнын куллары кутеннэн ускэн э кузлэренэ кутак чыккан!	Ул АвтоВАЗның заводында эшләгән, машина җыючыларның куллары эшкә яраксызрак, ә күзләрендә җитмәүләре бар!
36	Безнен символ кыланып ята! эле кутен курсэтэ бит? Оятсыз!)))	Безнең символ кыланып ята! Әле үзе дә күрсәтә бит? Оятсыз!)))
37	Элдэ нинди тилелэр бар инде Арчада!!!	Әллә нинди гаҗәп кешеләр бар инде Арчада!!!
38	Мал кебек ашамаска кирэк, кутен,не кутэреп эз булса да йогереп кер!	Мал шикелле ашамаска кирәк, әз генә булса да хәрәкәтлән, йөгереп ал!
39	татарча яз, кутенне корт чаккыры!!!	татарча яз, корт чаккан кебек тиктормас кеше!
40	Янгыр явып китте!) А так заебись	Янгыр явып китте!) А так бик яхшы!
41	Однажды я спрошу: \"Син кемне зуррак яратасың, минне яки әнине?\", а ты молча уйдешь, потому что ты рус-маржа.	Однажды спрошу: Син кемне зуррак яратасың, минне яки әнине?, а син уйланып китәрсең, чөнки син башка милләт кешесе.
42	әе сезнең белән килешмичә булмас!) инде ничәнче кеше әйтә бугай инде барыбер тыңламыйлар марҗалар!)	Әе, сезнең белән килешмичә булмас!) Инде ничәнче кеше әйтә, тик барыбер тыңламыйлар!
43	бар админга куштаннан,ялын,ялвар,чтоб балык фоткаларын кертмэскэ...тиле сатып утырма монда....тагын бер кабатлыйм!!!группада балык темасына запрет юк!!!	Админга якынырак барып, үтенеп кара, балык фотолары кертмәсеннәр дип... акыллырак бул монда... Тагын бер кабатлыйм!!! Группада балык темасына чикләүләр юк!!!
44	Кызлар сез тормозлар, шул томозлык аркасында шундый заебатый егетлэр югалтасыз!)))	Кызлар, сез бераз акрынрак эш итәсез, шул аркасында бик яхшы егетләрне югалтасыз!)))
45	Ахахах, ухухух бля колдермэгез инде, ул черегэн тополь ата дип уйлыйсыз чтоль?	Ахахах, ухухух көлдермәгез инде, ул череп беткән тополь ата дип уйлыйсызмыни?
46	куп кутак илэгинче минем урында йореп кара баштан мырапторасын бар да синен кебек ойдэ усырып ятмый!!!!	Башта берәр авыр юлны узып кара син минем урынымда, барысы да синең кебек өйдә генә утырмый!
47	Дуслар, монда карагыз, нәрсә урыс кутакбашлар языла!)	Дуслар, монда карагыз, нәрсәдер язу бара!
48	Алле нинди ангырага охшаган. Бер минагына охшамый микен?	Алло, нигәдер аңгыра кеше кебек тоела. Бер миңа гына шулай тоелмый микән?
49	ахуели штоли минем куршегэ суз эйтэсез?	Шулай итмиләрме минем күршегә сүз әйтәсез?
50	@user, ни хрена да булышмады синен счинакомын, тамак авырта белэт!:)	@user, бер дә ярдәм итмәде синең бу эшең, тамак авырта икән!:)
51	Егетен ташлагач башка егетлэр бн язышасы дигэн мени?! Вот тити баааш.	Егетеңне ташлагач, башка егетләр белән язышырга тырышасыңмы? Вот бу баш.
52	Кадамыйлар миңа әфьюн – юләрләнмә!	Кадамыйлар миңа әфьюн – тынычлан!
53	так-то син дэ шул ангыралар янына керэсен!	Так-то син дә шул артык аңламаган кешеләр рәтенә керәсең!
54	@user, сэер ул. мин аны башта шулай юри кыланадыр дип уйлаган идем. юк ул чын тиле	@user, сәер кеше ул. Мин аны башта шулай гына кыланадыр дип уйлаган идем. Юк, ул шундый икән.
55	миңа барда ошый,ә менә син нишләп аларны скипидарочка дип язасың,оятсыз!!!	Миңа бар да ошый, ә менә син нишләп аларны шулай үзенчәлекле итеп язасың, оят бит!
56	- Уф, булды, җитте! Син, син... убырлы карчык! Әйе, у-быр-лы кар-чык!	- Уф, булды, җитте! Син, син... утырып калмый торган кеше! Әйе, у-ты-рып кал-мый тор-ган кеше!
57	Нияз, син узендэ бетереп маймыл икэнсен....берэр аваз чыгаргач анлап белден ахры!!)))	Нияз, ахры, үзгәрткеч кеше булып чыктың....берәр аваз чыгаргач аңлагансыңдыр!:)
58	Блэ, друзья поймут бит инде ссука! Делай по своему. Алар дус булмаганга син егетне ташларга тиешме?	Дуслар аңлар бит инде, үзеңчә эшлә. Алар дус булмаганга син егетне ташларга тиешме?
59	Кул кутэргэн икэн,  димэк ул егет кеше тугел,  тряпка !!!	Кул күтәргән икән, димәк ул егет кеше түгел, үз абруен саклый белмәүче!
60	Кутенне кутэреп китапханэгэ барып кайт,яп..ялан баш!	Китапханәгә барып кайт, ялкау булма!
61	Татарлар урусләр белән яший!?)	Татарлар руслар белән бергә яши!?
62	ай ыштансызлар кутегез курена бит!!!!	Ай, оятсызлар, артыгыз күренә бит!
63	анын номерын удали хэм кермэ башка палатага аны курмэс очен! себерке иренне уважай	Аның номерын удали һәм кермә башка палатага аны күрмәү өчен! Ирегезгә хөрмәт күрсәтегез.
64	Аю сегэрдэй егетлэр лайк куегыз! Анон!	Аю кебек көчле егетләр, лайк куегыз! Анон!
65	Обедка калмас очен,иртэрэк торырга кирэк,кут туркайтып йоклап ятасы юк!!!!	Төшке ашка калып булмасын өчен, иртәрәк торырга кирәк, ялкауланып ятмагыз!
66	Кем хоккей карый?) Акбарс лох!!!!	Кем хоккей карый?) Ак Барс такымы бик көчле!
67	Ах,эле син мина изменять итеп йорисенме белэт?!Кутенне сегэм хэзер белэн эйт хэзер ук кем б/н сегешеп йорден?	Ах, әле син миңа хыянәт итеп йөрисеңме әллә?! Хәзер үк әйт, кем белән бәйләнештә буласың?
68	куз тондырып йорилэр дэ,потом водитель виноват!алар бит кылтаеп тонлэ утларын да яндырмыйлар!	Күзләрен ачмый йөриләр дә, аннары водительне гаеплиләр! Алар бит төнлә утларын кабызмый йөри.
69	оО и да кстати син минеке берничектэ була алмыйсын эйттем бит инде кутак басмый сина дип )	оО кстати берничектэ бит сина туры килмисен дип эйттем инде.
70	Кызым,ойдэ генэ кутенне кыстырып,китаплар укып кына ят!!!!!	Кызым, өйдә генә тынычлап китаплар укып ят!
71	Ачудан микэн син миңа күткә типтен,Очып кына барып төштем диваннан,Яратмыйм сине шул вакыттан!	Ачудан миңа тидең, очып диваннан егылдым. Шуннан бирле яратмыйм сине.
72	болай с*генеп мин кем дип мытырдап йорсэн синен точно когда нибудь кутенэ тибэлэр	Болай мытырдап йөрсәң, точно берәрсе берәр вакыт ачуланып тидерәчәк.
73	\"Син, маржа ме эле? Татарча эйт\" эти шулай диеп кычкырып жибэрэ	Син, маржа түгелме? Татарча әйт, - әти шулай дип кычкырып җибәрә.
74	azat балыкларынны кутенэ тыгып куй,балыкчылар группасын ачыгыз да шунда фоткаларыгызны атыгыз!	Azat, балыкларыңны тәртипкә китер дә, балыкчылар группасын ачып шунда фотоларыгызны куегыз!
75	маржалар куп бит!.. аларга куп кирекми..	Маржалар күп бит!.. Аларга артык күп кирәкми.
76	@user, ул сез ангырау,юнле кеше болай фикерлэми!!!!!!Сез ул ТАТАР миллэтен хурлап йоруче!	@user, сез ялгышасыз, акыллы кеше болай уйламый! Сез татар милләтен дөрес күрсәтмичә йөрисез!
77	Сез диваналармы ул?? Казан Татарстанда, э Татарстан Рэсэйдэ. Шуна кутегезне ышкымагыз!!	Сез аңлыйсызмы ул? Татарстан Казанда, ә Татарстан Россиядә. Шуңа тик кенә тыныч булыгыз.
78	Кыскасы дусларым кутне терэгэнче аны бераз кутэрсэн,безнен юлларда яхшырак булыр!	Кыскасы, дусларым, тырышып эшләсәк, юлларыбыз күпкә яхшырак булыр!
79	теге дунгызлар куренми дигэн идем, атна буе бэйрэм итеп ятканнар))	теге кешеләр куренми дигэн идем, атна буе бәйрәм итеп ятканнар)),ятканнар))
80	син чистай телесериала тогда, ангыра блэ.к врачу сходи,не помешает!!	син Чистай телесериала тогда, бер дә уйланмый эшлисең. Врачу бар, кирәге тигәндер!!
81	\"Кайсыбер марҗалар минем белән йөрергә телиләр.	Кайсыбер кызлар минем белән йөрергә телиләр.
82	Футболкасын эзеп кут тишегене тыгып куерга кирек булган!	Футболкасын эзләп, тиешле җиренә куярга кирәк булган!
83	Нэрсэ?!Мишэр кутеңне тишэр дигэн поговорка ишеткэнең юк мени синең	Нәрсә?! Мишәрләр турындагы әйтемне ишеткәнең юкмыни синең?
84	@user, эй блэт, нэрсэдэн  баш  тарканынны  белэсенме  акылсыз?  Алар  бит  анда  ботесе  синен  чикелле  ! Дуслар  табырсын,  ну?	@user, әй, нәрсәдән баш тартканыңны беләсеңме? Алар бит анда барысы синең кебек! Дуслар табарсың, ну?
85	мишэр башынны тишэр!!!э кутенне тогел!!!**)	Мишәр сине төп башына утыртыр!!! ә юк!!!
86	@user, урыс булсамда заебали сузенен мэгънэсен анлыйм була тугелме сон инде?!	@user, урыс булсам да, сүзнең мәгънәсен аңлыйм була түгелме соң инде?!
87	 А по части занятости дисәгез дә әйдәгез  сез \"урка\"ларны тотып йөрегез убойныйда ә мин бер офиста рәхәтләнеп күтне җәеп чәйләр эчеп утырырмын.	А по занятости дисәгез дә, әйдәгез сез җәмәгатьләрне җыеп йөригез, ә мин бер офиста рәхәтләнеп җайлап чәйләр эчеп утырырмын.
88	татар патриоты..башта маржача язган, лэкин татар теленэ кучкэн, молодец!!	татар патриоты.. башта марҗача язган, ләкин татар теленә күчкән, афәрин!!
89	Звонокка бассан маймылкин берэрсе сине карарга килер!!!	Звонокка бассан шаяру өчен берәрсе сине карарга килер!!!
90	Минем пизделкада кыегайды гына, борын бит кадэр иде, турайтма, болайда нормально,турайтсалар кыегаер тагын...	Минем борын бераз гына кыек иде, борын бит кадәр иде, турайтма, болай да нормально, турайтсалар кыегаер тагын...
91	кутенэ тугел,мин шул кызнын урынында булсам эллэ кайсы жиренэ тибэр идем ачудан.яхшы итеп барып тошерлек итеп!!!	Кирәкми, мин шул кызның урынында булсам, әллә кайсы җиреңә ачудан барып сугар идем. Яхшы итеп барып тошерлек итеп!
92	Мин, бля машинанын аварийкаларын кушып сигналын укертеп дальний белэн терэп куеп утеп китэ торган булам нахуй;)	Мин, аварийкаларын кушып, сигналын көчәйтеп, дальний яктырткычны кабызып, терәп куеп үтә торган булам.
93	Чаллыда мина маржа нинди телдэ сойлэшергэ ойрэтеп утырса, мин анын чыраен жимерэм!	Чаллыда миңа башка телдә сөйләшергә өйрәтеп утырсалар, аларның йөзләренә кырыс итеп җавап бирәм!
94	Пиздец инде сез ахуели! Сатучылар кемгэ нэрсэ сатасыз сез! Анонимно!	Бу бит мөшкел хәл инде! Сатучылар кемгә нәрсә сатасыз сез?! Анонимно!
95	Шулай экран артында гомеребез үтеп китә инде.. шунысы әйбәт - тиле вәзиребез юк))	Шулай экран артында гомеребез үтеп китә инде... Шунысы әйбәт - акылсыз җитәкчебез юк.
96	Татар кызлары ошамай икен сезге ,маржа алыгыз!Алар узлэренен кызларын берда хурламыйлар мена нарса дип язып куйганнар.	Татар кызлары ошамый икән сезгә, башка милләт кызларын алыгыз! Алар үзләренең кызларын бер дә хурламыйлар, менә ничек итеп язганнар.
97	Офигееть...Ирен була торып...недотрах что ли?!(грубо эйткэндэ)гулять итеп туймагач на фига тогда кияугэ чыктын?!	Офигеть... Ирен булып торып... канәгатьсезлек булганмы әллә? Гулять итеп туймагач, ни өчен кияүгә чыктың?!
98	Шантаж хуйня ул яппашмать, син ойлэнмэгэн, балагыз да юк	Шантаж — мәгънәсез әйбер ул, син өйләнмәгән, балагыз да юк.
99	тилеее...купме авыру кешелэр тилмерэээ, яшэугэ сусыйлар, тормышнын хэрбер коне очен тырмашалар	Күпме авыру кешеләр тилмереп, яшәргә сусап, тормышның һәр көне өчен тырышалар.
100	Да, Бабай белеп сугә! Хотя Путиннын ул крокодильи слёзы, маймылланып утыра инде, уффф!	Да, Бабай белеп сугә! Хотя Путиннын үксегән күз яшьләре, үзен әллә-ниткән итеп тота, уффф!
101	ну бл..ть башында эзерэк миен булса мондый пост залар мени.укы,бирерсен бишкэ.укыйсын килмэсэ акча торт	Ниһаять, башында бераз уй булган кеше мондый пост салыр идеме? Укы, бишьә бирерсең. Укыйсың килмәсә, акча бир дә чык.
102	нахуй ул кеше башы бутаучылар!!!курэзэче юк ул!	Бу баш бутарга тырышучылар нәрсә инде?! Бу бит никадәр авыр хәлдәгеләргә ярдәм итү дигәнне аңларга тиеш вакыт.
103	Подругаларынны жый да, яннарына кунакка барыгыз. 'СтрЫптиз заказывали?'дип	Подругаларыңны җый да, яннарына кунакка барыгыз. 'СтрЫптиз ясыйбызмы?' дип, күңел ачып килегез.
104	блядь достали инде.. давайте уж языгыз кемнэр кызыл трусик киеп йори лайк куегыз дип!	Чынлап та, туйдырды инде... Әйдәгез, әйтегез, кемнәр кызыл трусик киеп йөри, шунда лайк куегыз.
105	@user, дунгызлар анламасын диеп Татар телендэ языргамы?	@user, аңламаучылар өчен татар телендә языргамы?
106	барсыда бер торле дигэнгэ ышана башладым инде бля	Барсы да бер төрле дигәнгә ышана башладым, беренче карашка шулай кебек.
107	Элбэттэ тантаналы итеп! бу бит сезгэ оч тиенлек эктем сектем попсушникларнын сайты тугел-бу все таки Алканат нокта ру!)	Әлбәттә, тантаналы итеп! Бу бит сезгә юк-бар сайт түгел — бу барыбер Алканат нокта ру!
108	мин тилесе хэм минем б.н йори торган 2тиле тоже бармады)	Мин үземнеке һәм минем белән йөргән ике кеше дә бармады.
109	Этиен денене сегеп чыгарыр эле. Акылсыз татар кызы лырга киррэк миллэтне бтерясез инде!	Этиен денене чыгарып бетерер эле. Акылсыз татар кызы булып чыгасыз, ахры, милләтне нигезе белән үзгәртәсез инде!
110	Кызлар, сезнен ничек кутегез катмый ул? Бер кат колготкий белэн йореп!	Кызлар, сезнең ничек бозылмый ул? Бер кат колготкий белән йөреп!
111	заебали талашып!!! бишегез биш телдэ сойлэшэсез, бер-берегезне анламыйсыз, и телэмисез дэ анларга.	Арыганчы бәхәсләшәсез!!! Бишегез биш телдә сөйләшәсез, бер-берегезне аңламыйсыз, һәм аңларга теләмисез дә.
112	Ой бик авыр  баса курмэ, монда берэу пизданулся ничек тазарырга белми, монда да язган иде булышмады!	Ой, бик авыр! Баса күрмә, монда берәү нык аптырап каллы, ничек тазарырга белми, монда да язган иде, файдасы тимәде!
113	Урыс белән янәшә генә яши алабыз. Син марҗага өйләнгән бер татарның баласына татар исеме кушканын ишеткәнең бармы?	Урыс белән янәшә генә яши алабыз. Син урыс кешесенә өйләнгән бер татарны ишеткәнең бармы, татар исеме балага кушканын?
114	Акча җитми өстен торган чиновникларга, халык тилмерсен өчен!.. Шуңа күтәртәләрдә инде бәяләрне, шул ахмаклар.	Акча җитми өстә утырган түрәләргә, халык хәсрәт күрсен өчен!.. Шуңа күтәртәләр дә инде бәяләрне, шундый кешеләр аркасында.
115	кутенне ойрэт, кыеш тычмасын!	Үз-үзеңне тәртипле тот, җайсыз килеп чыкмасын!
116	Кошмар!!! Алар гнилой кешелэр. \"Сэдакэ булсын\"- дип жибэрегез инде сез ул акчаларны, тавып булмагач.	Кошмар!!! Алар бик үзгәргән кешеләр. Сәдака булсын дип җибәрегез инде сез ул акчаларны, җыя алмагач.
117	а Сюмбель бн Ильнурга респект,хэр хэлдэ башка долбаеблар кебек хэр пост астына херня язып утырмыйлар,э уз фикерлэренэ нигезлэнеп язалар!	Ә Сөмбел белән Илнурга респект, һәрхәлдә башка начар гадәткә кергән кешеләр кебек һәр пост астына яраксыз сүзләр язмыйлар, ә үз фикерләренә нигезләнеп язалар!
118	Татар теле колхоз дип ник эйтэлэр? - авызларына сукманга шулай маймылланып йорилэр! мин шулай уйлыйм!	Татар теле авыл ягы теле дип ник әйтәләр? — кешеләрнең шул сәбәпле кимсенеп йөрүләре өчен! Мин шулай уйлыйм!
119	Тукта янгыр,тукта янгыр яума эле...заебал инде син!	Тукта янгыр, тукта янгыр яума эле...артып китте инде син!
120	Шэп булган бу. продолжай в том же духе, маржалар эйткэндэй00	Шэп булган бу. продолжай в том же духе, марилар эйткэндэй.
121	экиятенне сатма.андый уйлар булган булса,син ташлауга ул эшлэгэн булыр идем.мин андый тиле тугел.	Экиятенне сатма. андый уйлар булган булса, син ташлауга ук эшлэгэн булыр идем. мин андый урынсызга ышанмыйм.
122	Эйе, кубесе урыслаша! Женемне чыгара, татар белэн татарча сойлэшэсен, э ул сина маржача жавап бирэ!	Эйе, кубесе урыслаша! Жанны ачындыра, татар белэн татарча сойлэшэсен, э ул сина русча жавап бирэ!
123	Нинди хэл ул,кут курсэтеп йорергэ?!	Нинди хэл ул, оятсызлык курсэтеп йорергэ?!
124	\"Татар, ин бит узен ничэ сэгэт шул крэшен эчен көчәнә, көчәнә кутен ертасын!\"	Татар, ин бит узен ничэ сэгэт шул крэшен эчен тырышасын, тырышасын артын ярып!
125	Акча булсын,кутак торсын!!!	Акча булсын, уңыш булсын!
126	Татарчада спам яза башласалар вообще пиздец:)	Татарчада спам яза башласалар вообще зур проблема:)
127	ахахах,тиле кебеклэр сез=))бер башлый суз эйтэ алмыйсыз!	Ахахах, көлке кебек сез=)) бер башлыйсыз, суз эйтэ алмыйсыз!
128	Апанны эзрэк жэллэ тилермэ бу бит якшы нэрсэ тугел...акылсыз тугелдер бит син?!!!!!!	Апанны эзрэк жэллэ, тилереп бу бит яхшы нэрсэ тугел... акыллы бит син?!!!!!!
129	ато карап торасын монда,гел берэр жиргэ\"кутак,хуй\"сегу\" кыстыралар	Ато карап торасын монда, гел берәр җиргә нинди дә булса ярамаган сүз кыстыралар, монда, гел җиргә нинди дә булса ярамаган сүз.
130	Бирэм мин сезгэ!!! Ни очен??? Пощему-патамушто! Миннэн колеп утырасыз!!!! Хэзер кутегезгэ чэпим!	Бирәм мин сезгә!!! Нигә??? Пощему-патамушто! Миннән көлеп утырасыз!!!! Хәзер кирәген күрсәтәм!
131	кем эйтмешли, хуйня ул-тазалык булсын!)	Кем әйтмешли, юкны сөйләп йөрмәсәк яхшырак булыр — тазалык булсын!
132	Узен нормальный булсан аноним ул да сина норм булыр иде! Так что авызынны япта кутеннэн сула!!!!!!	Үзең нормальный булсаң, аноним ул да сиңа норм булыр иде! Шулай булгач, сөйләвеңне туктат та тынычлан!
133	Гомерегез бэтэк тикшереп утэ инде!	Гомерегез вак-төяк тикшереп үтә инде!
134	Син дуңгыз, әгәрдә ечмәгән булсаң, аракыга акча бетермәгән булсаң, син беләсэмңе нәстә без узебезгә алалаидек!?	Син, үзеңне караган булсаң, акчаны аракыга әрәм итмәгән булсаң, беләсеңме, без үзебезгә нәрсә ала алыр идек!?
135	чтобы иван у нас в татарстане хотябы кутен кысып йорсен	Шулай итеп, Иван безнең Татарстанда үзен тынычрак тотарга өйрәнсен.
136	Татарча группада маржалар язмасын иде!	Татарча группада татар телен куллансыннар иде!
137	Ааа.... улэм... кутенэ язган булсан, кызыксыныбрак караган булырлар иде!	Ааа... Үләм... әгәр игътибарлырак язган булсаң, кызыксыныпрак караган булырлар иде!
138	Сирина, бля бесит бу кешелэр мине, Татария тугел ул, Татарстан!!!	Сирина, бераз ачу китерә бу кешеләр, Татария түгел ул, Татарстан!
139	Хлапушка шартлатып подьезга ыргытып йоргэн пиздюкларны, берэрсен куреп тотсам ! Кутегезгэ тыгып шартлатам блэт!	Хлапушка шартлатып подьезга ыргытып йоргэн егетлэрне, берэрсен куреп тотсам! Кулыгызга биреп шартлатам!
140	Булат, бля пиздец инде сез! Урыслар россия для русских дип тора почти ботенеседэ, татарларны чурка дилэр, аларнын, бабалары безнен, илне яулап алганнар!	Булат, бу бит инде сез! Урыслар 'Россия руслар өчен' дип тора ботенесе дә, татарларны кимсетәләр, аларның бабалары безнең илне яулап алганнар!
141	продолжение кеше артында качып башкаларга суз кычкырып яшисез , э эйткэн суз эчен жавап тотасы булганда, синен шикеллелэр башкаларга яла ягып уз кутен коткаралар !	Продолжение кеше артында качып башкаларга суз кычкырып яшисез, ә әйткән сүз өчен җавап бирәсе булганда, синең шикеллеләр башкаларга ялган ябыштырып үзләрен коткаралар!
142	Актанышта да пидорлар бар мени инде Хэзер?качырга кирэк моннан!	Актанышта да ят фикерле кешеләр бар мени хәзер? Китәргә кирәк моннан!
143	Блеать я честно в ахуе сижу тут...Алсу син авыртмыйсынма?	Чынлап әйтәм, аптырадым инде монда... Алсу, син авырмыйсыңмы?
144	Кемдер гавно дигэч сездэ алай сойлэмэгез инде...барып кемнен дер ясатканы бармы сон фарухда?	Кемдер 'ошамый' дигәнгә сез дә шулай сөйләмәгез инде... барып, кемнеңдер эшләгәне бармы соң Фарухта?
145	син тиле мэллэ!!	Син шаяртасыңмы әллә?!
146	Андрей, урысларны бик яратасын карасам.....хатын маржа булган мэлле?!	Андрей, урысларга бик басым ясыйсың карасам... хатының урыс милләтеннән булганмы әллә?
147	Хатын-кыз логикасы блэт, арышынны урыйм!!	Хатын-кыз логикасы, аптыратасын бит, кырган эшләреңне карыйм!
148	Дорес кеше шулай мангаена язып утырмый чын тиле кеше бу	Дөрес кеше шундый мәгънәсез итеп сөйләп утырмас, әллә бу чынлап сәер кеше инде?
149	Коточкыч! агуланып кырыласыз бит, хэмер яратучылар!	Коточкыч! агуланып үз-үзегезгә зыян китерәсез бит, хәмер яратучылар!
150	авыл малайлары бля.авыл малайлары синен ишегэ эйлэнеп тэ карамый кутагым	Авыл малайлары, алар синең ишегә борылып та карамас икән.
151	Кутагын юк чтоли бармак тыгып ятасын	Бармак белән нәрсәдер эшләргә мәҗбүр бугай син, шуңа күрә уңайсыз хәлдә калгансың ахры.
