ID	tat_toxic	tat_detox1
124	Ятим бала тагын Кыш бабайга хат яза: Рэхмэт сина зур итеп кыш бабай, мин шундый бэхетле дие... ШАПКАН очен, БИЯЛЭЕН очен э менэ шарфны почтада спиздели норверное дигэн! )))	Ятим бала тагын Кыш бабайга хат яза: Рэхмэт сина зур итеп кыш бабай, мин шундый бэхетле дие... ШАПКАН очен, БИЯЛЭЕН очен э менэ шарфны почтада спиздели норверное дигэн! )))
125	чуркалар хэр кызга бэйлэнэдер алар)))	чуркалар хэр кызга бэйлэнэдер алар)))
126	Хатыннары маржа тугель ме?	Хатыннары маржа тугель ме?
127	татарИН дигән сүздән китә белмәделәр инде безнең ахмаклар.	татарИН дигән сүздән китә белмәделәр инде безнең ахмаклар.
128	Да лох син, яшьрэклэре беткэн чтоли?	Да лох син, яшьрэклэре беткэн чтоли?
129	юк, ниндий туңырга)) без -40 тышка щегабыз усрак айлягргя))	юк, ниндий туңырга)) без -40 тышка щегабыз усрак айлягргя))
130	Ващее пиздец эзрэк ашарга кирэк	Ващее пиздец эзрэк ашарга кирэк
131	охуен жыр аааа!!!!	охуен жыр аааа!!!!
132	Салып торып жибэр берне пиздюкка	Салып торып жибэр берне пиздюкка
133	Икенчесе шул ТАТАР теле белән язылышылырга тик \"ә\" хәрефе урынына \"э\" хәрефен куймаска урыс тугел дер ич беләт!	Икенчесе шул ТАТАР теле белән язылышылырга тик \"ә\" хәрефе урынына \"э\" хәрефен куймаска урыс тугел дер ич беләт!
134	иренмәгез авызыңны сегим!	иренмәгез авызыңны сегим!
135	компын хуйня булгач булмый инде ул	компын хуйня булгач булмый инде ул
136	Блин,кайчан туктыйсыз сез,жыен хуйня язудан...	Блин,кайчан туктыйсыз сез,жыен хуйня язудан...
137	Бу маржа эбидер, бер дэ татарча сейлэшэ алмый.	Бу маржа эбидер, бер дэ татарча сейлэшэ алмый.
138	Акча дохуя булса -була!)	Акча дохуя булса -була!)
139	схуяли мишэрлэр то?	схуяли мишэрлэр то?
140	наполовину татарка, наполовину армянка булса марҗа була инде.	наполовину татарка, наполовину армянка булса марҗа була инде.
141	Сария мозга сегеп утырма монда!!!!!	Сария мозга сегеп утырма монда!!!!!
142	Кызык блэт,кечкэ куып бетертем	Кызык блэт,кечкэ куып бетертем
143	Ике аягымда сызлый утереп, иртэгэ \"матур\" кон булыр ахры.блять	Ике аягымда сызлый утереп, иртэгэ \"матур\" кон булыр ахры.блять
144	Зур эш эшлэгэнсен икэн пиздец	Зур эш эшлэгэнсен икэн пиздец
145	ваще лоханулась , огэ пробный, укытучыга эйтеп тора идем организатор гына эйбэт булсын иде дип, упс янда укытучы тора бутэн, мин аны тоже безнеке кебек сопровождающий дип торам ,э ул ,блин,организатор булып чыктыы.....	ваще лоханулась , огэ пробный, укытучыга эйтеп тора идем организатор гына эйбэт булсын иде дип, упс янда укытучы тора бутэн, мин аны тоже безнеке кебек сопровождающий дип торам ,э ул ,блин,организатор булып чыктыы.....
146	Ох бля чапайлар килде((	Ох бля чапайлар килде((
147	как будто алар бу доньяда ин куп курган халык,бля минем эби даже алай ук ойратми..	как будто алар бу доньяда ин куп курган халык,бля минем эби даже алай ук ойратми..
148	давай юк бар кинэш биреп инетны засорять итеп утырман але,щенок	давай юк бар кинэш биреп инетны засорять итеп утырман але,щенок
149	Кызларга яланымаска ялынсан кызлар эйтэлэр эй бу тегэлэй итте болай ите дип нахуй ялынмагыз бер кайчанда китсэ китсен значит ул синеке тугел табырсын эле дахуя ич алар беткэн мени эле аннан сон 30-40 белэн танышкан иле секкэн минемчэ ялынмаска	Кызларга яланымаска ялынсан кызлар эйтэлэр эй бу тегэлэй итте болай ите дип нахуй ялынмагыз бер кайчанда китсэ китсен значит ул синеке тугел табырсын эле дахуя ич алар беткэн мени эле аннан сон 30-40 белэн танышкан иле секкэн минемчэ ялынмаска
150	Егэ огэ прочий хуйня кирэк тугел дип уйлыйм	Егэ огэ прочий хуйня кирэк тугел дип уйлыйм
151	бля кочаклап алып пэп итэм))))	бля кочаклап алып пэп итэм))))
152	Ә мин барбер кибеткә керсәм,иң башта \"исәнмесез\"диям,татар булса,сатучы татарча җавап бирә,шунсы куандыра,кайбер марҗалар,вата-җимерә булса да,татарча җавап бирергә тырыша,кайберәүләр татар була торып та, русча сөйләшүен дәвам итә,ачу килә аларга((	Ә мин барбер кибеткә керсәм,иң башта \"исәнмесез\"диям,татар булса,сатучы татарча җавап бирә,шунсы куандыра,кайбер марҗалар,вата-җимерә булса да,татарча җавап бирергә тырыша,кайберәүләр татар була торып та, русча сөйләшүен дәвам итә,ачу килә аларга((
153	Мама русская булгач марҗа була инде, аңа татар теле кирәкми.	Мама русская булгач марҗа була инде, аңа татар теле кирәкми.
154	мин блэт тугел)	мин блэт тугел)
155	пиздец кызык булды..	пиздец кызык булды..
156	сагындым блэт...кайтасы килдеее(((=*	сагындым блэт...кайтасы килдеее(((=*
157	Ычкыныгыз блэтлэр, дип кычкырганнанр...	Ычкыныгыз блэтлэр, дип кычкырганнанр...
158	Бэлки ул кыз \"блэтлэнеп\" йоргэндер?)))	Бэлки ул кыз \"блэтлэнеп\" йоргэндер?)))
159	нахуй кирэк правасыз йореп булмый боларда(	нахуй кирэк правасыз йореп булмый боларда(
160	Мине маржага охшаталар	Мине маржага охшаталар
161	бер кем дэ белми шул блэт...	бер кем дэ белми шул блэт...
162	нихуяда уйный алмыйлар	нихуяда уйный алмыйлар
163	чокырга рэсем,бик матур рэсеееем,мдааааа...сау булыгыз арчалылар,блять	чокырга рэсем,бик матур рэсеееем,мдааааа...сау булыгыз арчалылар,блять
164	Сегим нахуй ял итеп тумадым эле мин.))	Сегим нахуй ял итеп тумадым эле мин.))
165	Ебать арагызда долбоеблар бар узлэренен плоский юморлары белэн,мина стремно сезнен очен егетлэр	Ебать арагызда долбоеблар бар узлэренен плоский юморлары белэн,мина стремно сезнен очен егетлэр
166	Уф...бетмэде мени эле ул, лохотрон и все, онытыгыз инде шул акчаларыгызны.	Уф...бетмэде мени эле ул, лохотрон и все, онытыгыз инде шул акчаларыгызны.
167	Шундый яхшы кеше, лякин маржага ойлендэ....	Шундый яхшы кеше, лякин маржага ойлендэ....
168	пиздец сез	пиздец сез
169	марҗалар безне җиңелмәс	марҗалар безне җиңелмәс
170	бля назил буген армиягэ китэ(	бля назил буген армиягэ китэ(
171	татарча яза башлыйм инде,заебали!)	татарча яза башлыйм инде,заебали!)
172	татар палатасы блэт	татар палатасы блэт
173	э хэзер набароот,хэзерге балалар С утра до вечера компютерда,вкда утыралар,кс уйныйлар,кс дан чыгарга куркалар хэзер,чыгып кире керсэн дорес тугел серверга керергэ можетсын,донья эллэ кая тэгэри бля,скоро безнен бн компьютер управлять итер инде!	э хэзер набароот,хэзерге балалар С утра до вечера компютерда,вкда утыралар,кс уйныйлар,кс дан чыгарга куркалар хэзер,чыгып кире керсэн дорес тугел серверга керергэ можетсын,донья эллэ кая тэгэри бля,скоро безнен бн компьютер управлять итер инде!
174	бу хуйня без матайлар белэн машиналар белэн жыела идек	бу хуйня без матайлар белэн машиналар белэн жыела идек
175	мескенлер маржаларга ярарга хэм ошарга булып ящилер))	мескенлер маржаларга ярарга хэм ошарга булып ящилер))
176	бля бу бит тормышта ин кирэк эибер!	бля бу бит тормышта ин кирэк эибер!
177	Чыга курмэн буген урамга, очып китэсез нахрен	Чыга курмэн буген урамга, очып китэсез нахрен
178	Хатын марҗа булса, ирнең туганнары туган тугел, гел уз туганнары ягына гына тарталар, татар гаиләләрендә бергә-бергә дуслашып яшиләр	Хатын марҗа булса, ирнең туганнары туган тугел, гел уз туганнары ягына гына тарталар, татар гаиләләрендә бергә-бергә дуслашып яшиләр
179	нинди татар булсын бу, марҗа, өчпочмак ашагач, теле ачылган)	нинди татар булсын бу, марҗа, өчпочмак ашагач, теле ачылган)
180	Ну обычно, тубэн должностьтагы чмошниклар шулай кыланалар)	Ну обычно, тубэн должностьтагы чмошниклар шулай кыланалар)
181	эйе.. узе Cәбитова марҗаны сөйлягән	эйе.. узе Cәбитова марҗаны сөйлягән
182	Базарда блэт	Базарда блэт
183	нахуй сатып алырга если кешегэ нахуй да кирэк тугел узенеке?	нахуй сатып алырга если кешегэ нахуй да кирэк тугел узенеке?
184	Кутагым хлорка бн дэ юса бетмэс шакшысы!	Кутагым хлорка бн дэ юса бетмэс шакшысы!
185	маржалар белэн урысча сойлэшэсен инде, башкача булмый, андый жирдэ дэ татарлар эшли бит	маржалар белэн урысча сойлэшэсен инде, башкача булмый, андый жирдэ дэ татарлар эшли бит
186	Хазер бу манкурт кызы маржа булды	Хазер бу манкурт кызы маржа булды
187	аларны инде нахуй)))	аларны инде нахуй)))
188	минем янда син пиздюшка гына икэн)	минем янда син пиздюшка гына икэн)
189	Адым саен үзбәк, адым саен таҗик, Татарстан бләт!	Адым саен үзбәк, адым саен таҗик, Татарстан бләт!
190	Ленинга рәхмәт атегез шепещ мепещ диалект эцен тьфу бләт!	Ленинга рәхмәт атегез шепещ мепещ диалект эцен тьфу бләт!
191	ахмаклар да инде, әйтеп торалар сезгә Асаф Вәлиев җырлый \"Эх, сез, матур кызлар\" җырын.	ахмаклар да инде, әйтеп торалар сезгә Асаф Вәлиев җырлый \"Эх, сез, матур кызлар\" җырын.
192	Это пиздец 17 яшьлек кыз очен	Это пиздец 17 яшьлек кыз очен
193	Охуенно була икэн ату:-):-)	Охуенно була икэн ату:-):-)
194	ни че се. кызлар чуркага карап язырга тиешме??	ни че се. кызлар чуркага карап язырга тиешме??
195	Фуууу сабыр итеп кайчан туктар дип утырырга чтоль,белден,сизден кутенэ тибеп жибэрергэ шунын янына	Фуууу сабыр итеп кайчан туктар дип утырырга чтоль,белден,сизден кутенэ тибеп жибэрергэ шунын янына
196	Кузенэ карап, кутен сегеп аттык короче	Кузенэ карап, кутен сегеп аттык короче
197	ир кеше жырлый хэм ул чурка булырга тиеш:))	ир кеше жырлый хэм ул чурка булырга тиеш:))
198	маржалар кеше тугел мэллэ алар?)))	маржалар кеше тугел мэллэ алар?)))
199	Жыр хуета, ни татарча ни русча, ул жырны язучынын акылын эт кочлэгэн	Жыр хуета, ни татарча ни русча, ул жырны язучынын акылын эт кочлэгэн
200	ибо заебали уже теге ошай бу ошай диеп.	ибо заебали уже теге ошай бу ошай диеп.
201	Ильнур, игътибар итсэн, уже исеменнэн ук куренэ, че за х....ня икэне.	Ильнур, игътибар итсэн, уже исеменнэн ук куренэ, че за х....ня икэне.
202	Сырага акчалары беткэн\"нэн генэ эуэлэнгэн хуета короче...	Сырага акчалары беткэн\"нэн генэ эуэлэнгэн хуета короче...
203	Фил генэ булса хуйня але ул	Фил генэ булса хуйня але ул
204	Барысы да синен кебек аерым яши башласа ул Россия булмый э пиздец була!!!	Барысы да синен кебек аерым яши башласа ул Россия булмый э пиздец була!!!
205	Самат, шана,динислам сезга купме тулилар ул мында эктем~сектем язырга?)))	Самат, шана,динислам сезга купме тулилар ул мында эктем~сектем язырга?)))
